ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,year_x,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area,conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year_y,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
1stDragasani1821,GREECE,44.6631799,24.2608711,"CLODFELTER, P191",DRAGASANI,1821,,GREEK WAR OF INDEPENDENCE,GREEK REBELS,OTTOMAN EMPIRE,,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stGiurgevo1811,ROMANIA,43.8977007,25.9274978,"CLODFELTER, P190",GIURGEVO,1811,,RUSSO-TURKISH WARS,OTTOMAN EMPIRE,RUSSIA,,,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ndBreslau1757,POLAND,51.1078852,17.0385376,"CLODFELTER, P80",BRESLAU,1757,,SEVEN YEARS WAR,PRUSSIA,HABSBURG EMPIRE,,,3,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ndGiurgevo1811,ROMANIA,43.8977007,25.9274978,,GIURGEVO,1811,,RUSSO-TURKISH WARS,RUSSIA,OTTOMAN EMPIRE,,,3,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ndSchweidnitz1757,POLAND,50.8498434,16.475679,"CLODFELTER, P80",SCHWEIDNITZ,1757,,SEVEN YEARS' WAR,PRUSSIA,HABSBURG EMPIRE,,,3,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Shau1966,VIETNAM,16.1245222,107.3314423,75,A SHAU,1966,"['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist']","['VIETNAM WAR', 'THE A SHAU VALLEY']","SOUTH VIETNAM, UNITED STATES",VIET CONG,,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa River1917,LATVIA,56.8206989,23.5755013,1,AA RIVER,1917,"['German', 'Russian', 'Riga', 'Germans']",['WORLD WAR I'],GERMANY,RUSSIA,GERMANY,RUSSIA,4,LAND,,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aachen1944,GERMANY,50.7753455,6.0838868,1,AACHEN,1944,"['American', 'German', 'Hurtgen']",['WORLD WAR II'],UNITED STATES,GERMANY,UNITED STATES,GERMANY,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aardenburg1672,NETHERLANDS,51.2742727,3.4453328,1,AARDENBURG,1672,"['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']",3RD DUTCH WAR,NETHERLANDS,FRANCE,NETHERLANDS,FRANCE,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aasle1389,SWEDEN,58.1775353,13.6869345,1,AASLE,1389,"['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']",WARS OF SCANDINAVIAN UNION,DENMARK,SWEDEN,DENMARK,SWEDEN,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadan1980,IRAN,30.347296,48.2934004,1,ABADAN,1980,"['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']",['IRAQ-IRAN WAR'],DRAW,,IRAN,IRAQ,3,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P588",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadan1981,IRAN,30.347296,48.2934004,1,ABADAN,1981,"['Susangerd', 'Irans', 'Iran', 'Iraqis']",['IRAQ-IRAN WAR'],IRAN,IRAQ,IRAN,IRAQ,3,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abagana1968,NIGERIA,6.1864553,6.9799755,2,ABAGANA,1968,['Abagana'],['BIAFRAN WAR'],BIAFRAN REBELS,NIGERIA,BIAFRAN REBELS,NIGERIA,1,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abakrampa1873,GHANA,5.245212,-1.230904,2,ABAKRAMPA,1873,"['British', 'Ghana', 'Essaman']",2ND BRITISH ASHANTI WAR,UNITED KINGDOM,ASHANTI,UNITED KINGDOM,ASHANTI,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abancay1537,PERU,-13.6391954,-72.8929,2,ABANCAY,1537,"['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist']",['CIVIL WAR'],ALMAGRO FACTION IN SPANISH CIVIL WAR,PIZZARISTS,ALMAGRO FACTION IN SPANISH CIVIL WAR,PIZZARISTS,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbasabad1827,IRAN,36.7240776,51.1141183,2,ABBASABAD,1827,"['Russo', 'Russian', 'Persian', 'Persian']",RUSSO-PERSIAN WARS,RUSSIA,PERSIA,RUSSIA,PERSIA,3,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abeche1983,CHAD,13.8359124,20.8433709,2,ABECHE,1983,"['Libyan', 'Chad']",CHAD CIVIL WARS,CHAD,CHADIAN REBELS,CHAD,CHADIAN REBELS,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abensberg1809,GERMANY,48.8177181,11.8507867,2,ABENSBERG,1809,"['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians']",NAPOLEONIC WARS (5TH COALITION),FRANCE,AUSTRIA,FRANCE,HABSBURG EMPIRE,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P522; HARBOTTLE'S DICTIONARY OF BATTLES, P86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Edw1282,UNITED KINGDOM,52.1168663,-3.3541708,3,ABER EDW,1282,"['English', 'Wales', 'Radnor']",ANGLO-WELSH WARS,ENGLAND,WALES,ENGLAND,WALES,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abercorn1455,UNITED KINGDOM,55.994843,-3.4746957,2,ABERCORN,1455,"['Douglas', 'Scotland', 'Queensferry', 'England']",DOUGLAS REBELLION,SCOTLAND,EARL OF DOUGLAS,SCOTLAND,EARL OF DOUGLAS,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aberdare, Kenya1955",KENYA,-0.4145514,36.6661998,2,"ABERDARE, KENYA",1955,"['Kenya', 'Kenya']",MAU MAU REBELLION,DRAW,,UNITED KINGDOM,MAU MAU REBELS,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P560",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aberdare, Kenya1955(2nd)",KENYA,-0.4145514,36.6661998,3,"ABERDARE, KENYA",1955,"['Kenya', 'Kenya', 'British', 'British', 'Kenya']",MAU MAU WAR,MAU MAU,UNITED KINGDOM,MAU MAU,UNITED KINGDOM,2,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aberdare, Wales1093",UNITED KINGDOM,51.716154,-3.451816,3,"ABERDARE, WALES",1093,"['Wales', 'Glamorgan']",ANGLO-WELSH WARS,ENGLAND,WALES,ENGLAND,WALES,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen1644,UNITED KINGDOM,57.149717,-2.094278,3,ABERDEEN,1644,"['British', 'Scottish', 'Aberdeen', 'Inverlochy']",BRITISH CIVIL WARS,ROYALISTS,COVENANTERS,ROYALISTS,COVENANTERS,1,LAND,,BATTLE FOLLOWED BY MASSACRE,HTTPS://WWW.BATTLEFIELDSTRUST.COM/MEDIA/669.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboasa1900,GHANA,6.8076157,-1.5454459,"CLODFELTER, P351",ABOASA,1900,,ASHANTI RISING,UNITED KINGDOM,ASHANTI REBELS,,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abomey1892,BENIN,7.1854773,1.9979411,3,ABOMEY,1892,['French'],['DAHOMEAN WAR'],FRANCE,DAHOMEY,FRANCE,DAHOMEY,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboukir1799,EGYPT,31.3114241,30.0603342,3,ABOUKIR,1799,"['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish']",FRENCH REVOLUTIONARY WARS,FRANCE,OTTOMAN EMPIRE,FRANCE,OTTOMAN EMPIRE,2,LAND,,NO,"THE FIELD AND THE FORGE, LANDERS, P390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboukir1801,EGYPT,31.3114241,30.0603342,3,ABOUKIR,1801,"['French', 'British', 'Aboukir', 'French', 'Alexandria']",FRENCH REVOLUTIONARY WARS,"UNITED KINGDOM, OTTOMAN EMPIRE",FRANCE,"UNITED KINGDOM, OTTOMAN EMPIRE",FRANCE,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, 2014, P510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrittus251,BULGARIA,43.5237175,26.5404685,3,ABRITTUS,251,['Philippopolis'],['GOTHIC WAR'],"GOTHS, SCYTHIANS",ROME,"GOTHS, SCYTHIANS",ROME,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Ageila1956,EGYPT,30.83783,34.1133,4,ABU AGEILA,1956,"['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']",['SINAI WAR'],ISRAEL,EGYPT,ISRAEL,EGYPT,1,LAND,,NO,,,,1956,EGYPT,EGY,UNITED KINGDOM,GBR,"CESSION
(PART YIELDED TO OTHER ENTITY)",.,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
