ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,year_x,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area,conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year_y,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
Addis Ababa1991,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1991,"['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']",2ND ETHIOPIAN CIVIL WAR,ETHIOPIAN REBELS,ETHIOPIA,ETHIOPIAN REBELS,ETHIOPIA,,LAND,,NO,,,,,,,,,,,,11447.0,10006,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,IGLF,1115,,1.0,HARARGHE,1991.0,100.0,100.0,100.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Addis Ababa1991,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1991,"['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']",2ND ETHIOPIAN CIVIL WAR,ETHIOPIAN REBELS,ETHIOPIA,ETHIOPIAN REBELS,ETHIOPIA,,LAND,,NO,,,,,,,,,,,,267.0,"12104, 558",ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,"EPRDF, FORCES OF HARAR GARRISON","1215, 414",,2.0,,1991.0,4518.0,4518.0,5568.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Addis Ababa1991,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1991,"['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']",2ND ETHIOPIAN CIVIL WAR,ETHIOPIAN REBELS,ETHIOPIA,ETHIOPIAN REBELS,ETHIOPIA,,LAND,,NO,,,,,,,,,,,,275.0,571,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,EPLF,416,,1.0,ERITREA,1991.0,6907.0,6904.0,6907.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Addis Ababa1991,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1991,"['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']",2ND ETHIOPIAN CIVIL WAR,ETHIOPIAN REBELS,ETHIOPIA,ETHIOPIAN REBELS,ETHIOPIA,,LAND,,NO,,,,,,,,,,,,413.0,869,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,OLF,551,,1.0,OROMIYA,1991.0,700.0,700.0,1330.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
As-Salman1991,IRAQ,30.6503174,44.5674562,77,AS-SALMAN,1991,"['Iraq', 'French', 'American', 'French', 'Wadi al-Batin']",['GULF WAR'],"FRANCE, UNITED STATES",IRAQ,,,3.0,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P595",,,,,,,,,,,259.0,521,IRAQ,GOVERNMENT OF IRAQ,116.0,,SCIRI,231,,2.0,,1991.0,237.0,237.0,1261.0,3.0,IRAQ,645.0,,,,645.0,645,2.0,24.1
As-Salman1991,IRAQ,30.6503174,44.5674562,77,AS-SALMAN,1991,"['Iraq', 'French', 'American', 'French', 'Wadi al-Batin']",['GULF WAR'],"FRANCE, UNITED STATES",IRAQ,,,3.0,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P595",,,,,,,,,,,271.0,"565, 564",IRAQ,GOVERNMENT OF IRAQ,116.0,,"PUK, KDP","261, 260",,1.0,KURDISTAN,1991.0,1247.0,1247.0,2603.0,3.0,IRAQ,645.0,,,,645.0,645,2.0,24.1
Asosa1990-1991,ETHIOPIA,10.0619827,34.5473005,77,ASOSA,1990,"['Ethiopian', 'Oromo', 'Eritrean', 'Sudanese', 'Ethiopian', 'Addis Ababa']",['CIVIL WAR'],"OROMO REBELS, ERITREA",ETHIOPIA,,,,LAND,,NO,,,,,,,,,,,,267.0,558,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,EPRDF,414,,2.0,,1990.0,18985.0,18985.0,18992.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Asosa1990-1991,ETHIOPIA,10.0619827,34.5473005,77,ASOSA,1990,"['Ethiopian', 'Oromo', 'Eritrean', 'Sudanese', 'Ethiopian', 'Addis Ababa']",['CIVIL WAR'],"OROMO REBELS, ERITREA",ETHIOPIA,,,,LAND,,NO,,,,,,,,,,,,275.0,571,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,EPLF,416,,1.0,ERITREA,1990.0,30633.0,30633.0,30633.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Asosa1990-1991,ETHIOPIA,10.0619827,34.5473005,77,ASOSA,1990,"['Ethiopian', 'Oromo', 'Eritrean', 'Sudanese', 'Ethiopian', 'Addis Ababa']",['CIVIL WAR'],"OROMO REBELS, ERITREA",ETHIOPIA,,,,LAND,,NO,,,,,,,,,,,,413.0,869,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,OLF,551,,1.0,OROMIYA,1990.0,80.0,80.0,3036.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Badme1999,ERITREA,14.7256491,37.8047872,93,BADME,1999,"['Ethiopian', 'Ethiopia', 'Eritrea', 'Ethiopian', 'Eritreans']",ETHIOPIAN-ERITREAN WAR,ETHIOPIA,ERITREA,,,,LAND,,NO,,,,,,,,,,,,326.0,712,ERITREA,GOVERNMENT OF ERITREA,98.0,,EIJM - AS,495,,2.0,,1999.0,25.0,25.0,239.0,3.0,ERITREA,531.0,,,,531.0,531,4.0,24.1
Baghdad1991,IRAQ,33.3128057,44.3614875,96,BAGHDAD,1991,"['Baghdad', 'Iraq', 'American', 'Baghdad', 'Baghdad', 'Baghdad']",['GULF WAR'],UNITED STATES,IRAQ,,,,AIR,,NO,,,,,,,,,,,,259.0,521,IRAQ,GOVERNMENT OF IRAQ,116.0,,SCIRI,231,,2.0,,1991.0,237.0,237.0,1261.0,3.0,IRAQ,645.0,,,,645.0,645,2.0,24.1
Baghdad1991,IRAQ,33.3128057,44.3614875,96,BAGHDAD,1991,"['Baghdad', 'Iraq', 'American', 'Baghdad', 'Baghdad', 'Baghdad']",['GULF WAR'],UNITED STATES,IRAQ,,,,AIR,,NO,,,,,,,,,,,,271.0,"565, 564",IRAQ,GOVERNMENT OF IRAQ,116.0,,"PUK, KDP","261, 260",,1.0,KURDISTAN,1991.0,1247.0,1247.0,2603.0,3.0,IRAQ,645.0,,,,645.0,645,2.0,24.1
Beirut1990,LEBANON,33.8937913,35.5017767,124,BEIRUT,1990,"['Lebanon', 'Christian', 'Syrian', 'Lebanon', 'Lebanese', 'Beirut', 'Syrian', 'Syria', 'Lebanon', 'Lebanese']",['CIVIL WAR'],SYRIA,LEBANESE CHRISTIAN MILITIA,,,2.0,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P586",1,,,,,,,,,,260.0,532,LEBANON,GOVERNMENT OF LEBANON,119.0,GOVERNMENT OF SYRIA,FORCES OF MICHEL AOUN,242,,2.0,,1990.0,700.0,400.0,800.0,4.0,LEBANON,660.0,652,,,660.0,660,2.0,24.1
Inda Silase1989,ETHIOPIA,14.0943686,38.2493298,470,INDA SILASE,1989,"['Ethiopian', 'Eritrean', 'Afabet', 'Tigrayan', 'Ethio-', 'Eritrean', 'Ethiopian', 'Addis']",ETHIOPIAN CIVIL WAR,"TIGRAYAN REBELS, ERITREA",ETHIOPIA,,,2.0,LAND,,NO,,,,,,,,,,,,267.0,"559, 558",ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,"EPRDF, MILITARY FACTION (FORCES OF AMSHA DESTA AND MERID NEGUSIE)","413, 414",,2.0,,1989.0,18403.0,18403.0,18420.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Inda Silase1989,ETHIOPIA,14.0943686,38.2493298,470,INDA SILASE,1989,"['Ethiopian', 'Eritrean', 'Afabet', 'Tigrayan', 'Ethio-', 'Eritrean', 'Ethiopian', 'Addis']",ETHIOPIAN CIVIL WAR,"TIGRAYAN REBELS, ERITREA",ETHIOPIA,,,2.0,LAND,,NO,,,,,,,,,,,,275.0,571,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,EPLF,416,,1.0,ERITREA,1989.0,5930.0,5930.0,5930.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Inda Silase1989,ETHIOPIA,14.0943686,38.2493298,470,INDA SILASE,1989,"['Ethiopian', 'Eritrean', 'Afabet', 'Tigrayan', 'Ethio-', 'Eritrean', 'Ethiopian', 'Addis']",ETHIOPIAN CIVIL WAR,"TIGRAYAN REBELS, ERITREA",ETHIOPIA,,,2.0,LAND,,NO,,,,,,,,,,,,413.0,869,ETHIOPIA,GOVERNMENT OF ETHIOPIA,97.0,,OLF,551,,1.0,OROMIYA,1989.0,25.0,25.0,150.0,3.0,ETHIOPIA,530.0,,,,530.0,530,4.0,24.1
Iriba1990,CHAD,15.1244491,22.2473434,474,IRIBA,1990,"['Biltine', 'Libyan', 'Sudan', 'Iriba', 'Sudan']",CHAD CIVIL WARS,CHADIAN GOVERNMENT,CHADIAN REBELS,,,,LAND,,NO,,,,,,,,,,,,288.0,"606, 609",CHAD,GOVERNMENT OF CHAD,87.0,,"MPS, ISLAMIC LEGION","442, 445",,2.0,,1990.0,1352.0,1352.0,8932.0,3.0,"CHAD, SUDAN",483.0,,,,483.0,"625, 483",4.0,24.1
Jalalabad1989,AFGHANISTAN,34.4198488,70.4729434,484,JALALABAD,1989,"['Sikh', 'Jalalabad', 'Sarahanpur', 'Mughal', 'Pathan', 'Jalalabad', 'Afghans', 'Akbar Khans', 'Afghans']",AFGHAN CIVIL WAR,"USSR, AFGHANISTAN",MUJAHIDEEN,,,,LAND,,NO,,,,,,,,,,,,333.0,"727, 729, 724, 726, 732",AFGHANISTAN,GOVERNMENT OF AFGHANISTAN,130.0,GOVERNMENT OF RUSSIA (SOVIET UNION),"HIZB-I ISLAMI-YI AFGHANISTAN - KHALIS FACTION, MAHAZ-I MILLI-YI ISLAMI-YI AFGHANISTAN, HIZB-I ISLAMI-YI AFGHANISTAN, HIZB-I WAHDAT, JAM'IYYAT-I ISLAMI-YI AFGHANISTAN","294, 299, 300, 292, 296",,2.0,,1989.0,5174.0,1904.0,17051.0,4.0,AFGHANISTAN,700.0,365,,,700.0,700,3.0,24.1
Kabul1992,AFGHANISTAN,34.5553494,69.207486,500,KABUL,1992,"['Afghan', 'Soviet', 'Russian', 'Mujahaden', 'Kabul', 'Afghanistan', 'Kabul']",AFGHAN CIVIL WAR,AFGHAN MUJAHIDEEN,AFGHAN COMMUNISTS,,,,LAND,,NO,,,,,,,,,,,,333.0,"732, 724, 726",AFGHANISTAN,GOVERNMENT OF AFGHANISTAN,130.0,,"HIZB-I WAHDAT, HIZB-I ISLAMI-YI AFGHANISTAN, JAM'IYYAT-I ISLAMI-YI AFGHANISTAN","300, 292, 299",,2.0,,1992.0,4276.0,4259.0,5460.0,3.0,AFGHANISTAN,700.0,,,,700.0,700,3.0,24.1
Kabul1996,AFGHANISTAN,34.5553494,69.207486,500,KABUL,1996,"['Afghan', 'Afghanistan', 'Pakistani', 'Kandahar', 'Kabul', 'British', 'American']",AFGHAN CIVIL WAR,TALIBAN,"AHMED SHAH MASUD, GULBUDIN HEKMATYAR",,,,LAND,,BATTLE FOLLOWED BY MASSACRE,,,,,,,,,,,,333.0,"735, 736, 724",AFGHANISTAN,GOVERNMENT OF AFGHANISTAN,130.0,,"TALEBAN, UIFSA, JAM'IYYAT-I ISLAMI-YI AFGHANISTAN","304, 292, 303",,2.0,,1996.0,3177.0,3161.0,3638.0,3.0,AFGHANISTAN,700.0,,,,700.0,700,3.0,24.1
