"conflict_id","dyad_id","location_inc","side_a","side_a_id","side_a_2nd","side_b","side_b_id","side_b_2nd","incompatibility","territory_name","year","bd_best","bd_low","bd_high","type_of_conflict","battle_location","gwno_a","gwno_a_2nd","gwno_b","gwno_b_2nd","gwno_loc","gwno_battle","region","version"
13324,"14236","KYRGYZSTAN, TAJIKISTAN","GOVERNMENT OF KYRGYZSTAN","132","","GOVERNMENT OF TAJIKISTAN","131","",1,"COMMON BORDER",2021,56,56,56,2,"KYRGYZSTAN, TAJIKISTAN","703","","702","","703, 702","703, 702","3",24.1
13324,"14236","KYRGYZSTAN, TAJIKISTAN","GOVERNMENT OF KYRGYZSTAN","132","","GOVERNMENT OF TAJIKISTAN","131","",1,"COMMON BORDER",2022,150,134,159,2,"KYRGYZSTAN, TAJIKISTAN","703","","702","","703, 702","703, 702","3",24.1
13840,"14953","BURKINA FASO","GOVERNMENT OF BURKINA FASO","78","GOVERNMENT OF FRANCE","IS","234","",1,"ISLAMIC STATE",2019,78,73,137,4,"BURKINA FASO","439","220","","","439","439","4",24.1
13840,"14953","BURKINA FASO","GOVERNMENT OF BURKINA FASO","78","GOVERNMENT OF FRANCE","IS","234","",1,"ISLAMIC STATE",2020,160,131,182,4,"BURKINA FASO","439","220","","","439","439","4",24.1
13840,"14953","BURKINA FASO","GOVERNMENT OF BURKINA FASO","78","GOVERNMENT OF NIGER, GOVERNMENT OF FRANCE, GOVERNMENT OF CHAD, GOVERNMENT OF MALI","IS","234","",1,"ISLAMIC STATE",2021,170,152,176,4,"BURKINA FASO","439","436, 220, 483, 432","","","439","439","4",24.1
13840,"14953","BURKINA FASO","GOVERNMENT OF BURKINA FASO","78","GOVERNMENT OF NIGER, GOVERNMENT OF FRANCE","IS","234","",1,"ISLAMIC STATE",2022,402,252,422,4,"BURKINA FASO","439","436, 220","","","439","439","4",24.1
13840,"14953","BURKINA FASO","GOVERNMENT OF BURKINA FASO","78","","IS","234","",1,"ISLAMIC STATE",2023,817,572,925,3,"BURKINA FASO","439","","","","439","439","4",24.1
13886,"14741","JORDAN","GOVERNMENT OF JORDAN","120","","IS","234","",1,"ISLAMIC STATE",2016,34,34,35,3,"JORDAN, SYRIA","663","","","","663","663, 652","2",24.1
13902,"14701","TURKEY","GOVERNMENT OF TURKEY","115","","IS","234","",1,"ISLAMIC STATE",2016,1107,1102,1107,3,"TURKEY, IRAQ, SYRIA","640","","","","640","640, 652, 645","2",24.1
13902,"14701","TURKEY","GOVERNMENT OF TURKEY","115","","IS","234","",1,"ISLAMIC STATE",2017,750,683,902,3,"TURKEY, SYRIA","640","","","","640","640, 652","2",24.1
13902,"14701","TURKEY","GOVERNMENT OF TURKEY","115","","IS","234","",1,"ISLAMIC STATE",2015,26,26,27,3,"TURKEY, SYRIA","640","","","","640","640, 652","2",24.1
11342,"11971","INDIA","GOVERNMENT OF INDIA","141","","GNLA","1163","",1,"GAROLAND",2012,27,23,27,3,"INDIA","750","","","","750","750","3",24.1
11342,"11971","INDIA","GOVERNMENT OF INDIA","141","","GNLA","1163","",1,"GAROLAND",2014,26,23,32,3,"INDIA","750","","","","750","750","3",24.1
11344,"11977","SUDAN","GOVERNMENT OF SUDAN","112","","REPUBLIC OF SOUTH SUDAN","1129","",1,"ABYEI",2011,145,145,145,3,"SUDAN","625","","","","625","625","4",24.1
11345,"12413","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SPLM/A - IO","4226","",2,"",2016,735,734,1155,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"12413","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SPLM/A - IO","4226","",2,"",2017,484,478,684,3,"SOUTH SUDAN, UGANDA","626","","","","626","500, 626","4",24.1
11345,"12413","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SPLM/A - IO","4226","",2,"",2018,526,497,727,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"15195","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","NAS","6794","",2,"",2019,110,102,188,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"15195","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","NAS","6794","",2,"",2020,58,49,135,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"17033, 15195","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SPLM/A - IO - KITGWANG, NAS","8201, 6794","",2,"",2021,188,188,209,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"11979, 11978","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SSDM/A, SSLM/A","1124, 1108","",2,"",2011,216,216,326,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
11345,"11979","SOUTH SUDAN","GOVERNMENT OF SOUTH SUDAN","113","","SSLM/A","1124","",2,"",2012,137,137,137,3,"SOUTH SUDAN","626","","","","626","626","4",24.1
