"ID","Country","Latitude","Longitude","Page","Battle","Year","Participants","War","Winner","Loser","Participant 1","Participant 2","Lehmann Zhukov Scale","Theatre","Polygon","Massacre","Alternative Sources Consulted","Infered Scale","Minor"
"1stDragasani1821","GREECE",44.6631799,24.2608711,"CLODFELTER, P191","DRAGASANI","1821",NA,"GREEK WAR OF INDEPENDENCE","GREEK REBELS","OTTOMAN EMPIRE",NA,NA,1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P191",NA,NA
"1stGiurgevo1811","ROMANIA",43.8977007,25.9274978,"CLODFELTER, P190","GIURGEVO","1811",NA,"RUSSO-TURKISH WARS","OTTOMAN EMPIRE","RUSSIA",NA,NA,2,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P190",NA,NA
"2ndBreslau1757","POLAND",51.1078852,17.0385376,"CLODFELTER, P80","BRESLAU","1757",NA,"SEVEN YEARS WAR","PRUSSIA","HABSBURG EMPIRE",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P80",NA,NA
"2ndGiurgevo1811","ROMANIA",43.8977007,25.9274978,NA,"GIURGEVO","1811",NA,"RUSSO-TURKISH WARS","RUSSIA","OTTOMAN EMPIRE",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P190",NA,NA
"2ndSchweidnitz1757","POLAND",50.8498434,16.475679,"CLODFELTER, P80","SCHWEIDNITZ","1757",NA,"SEVEN YEARS' WAR","PRUSSIA","HABSBURG EMPIRE",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P80",NA,NA
"A Shau1966","VIETNAM",16.1245222,107.3314423,"75","A SHAU","1966","['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist']","['VIETNAM WAR', 'THE A SHAU VALLEY']","SOUTH VIETNAM, UNITED STATES","VIET CONG",NA,NA,1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P676",NA,NA
"Aa River1917","LATVIA",56.8206989,23.5755013,"1","AA RIVER","1917","['German', 'Russian', 'Riga', 'Germans']","['WORLD WAR I']","GERMANY","RUSSIA","GERMANY","RUSSIA",4,"LAND",NA,"NO",NA,"1",NA
"Aachen1944","GERMANY",50.7753455,6.0838868,"1","AACHEN","1944","['American', 'German', 'Hurtgen']","['WORLD WAR II']","UNITED STATES","GERMANY","UNITED STATES","GERMANY",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P827",NA,NA
"Aardenburg1672","NETHERLANDS",51.2742727,3.4453328,"1","AARDENBURG","1672","['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']","3RD DUTCH WAR","NETHERLANDS","FRANCE","NETHERLANDS","FRANCE",NA,"LAND",NA,"NO",NA,NA,NA
"Aasle1389","SWEDEN",58.1775353,13.6869345,"1","AASLE","1389","['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']","WARS OF SCANDINAVIAN UNION","DENMARK","SWEDEN","DENMARK","SWEDEN",NA,"LAND",NA,"NO",NA,NA,NA
"Abadan1980","IRAN",30.347296,48.2934004,"1","ABADAN","1980","['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']","['IRAQ-IRAN WAR']","DRAW",NA,"IRAN","IRAQ",3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P588","1",NA
"Abadan1981","IRAN",30.347296,48.2934004,"1","ABADAN","1981","['Susangerd', 'Irans', 'Iran', 'Iraqis']","['IRAQ-IRAN WAR']","IRAN","IRAQ","IRAN","IRAQ",3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P588",NA,NA
"Abagana1968","NIGERIA",6.1864553,6.9799755,"2","ABAGANA","1968","['Abagana']","['BIAFRAN WAR']","BIAFRAN REBELS","NIGERIA","BIAFRAN REBELS","NIGERIA",1,"LAND",NA,"NO",NA,NA,NA
"Abakrampa1873","GHANA",5.245212,-1.230904,"2","ABAKRAMPA","1873","['British', 'Ghana', 'Essaman']","2ND BRITISH ASHANTI WAR","UNITED KINGDOM","ASHANTI","UNITED KINGDOM","ASHANTI",NA,"LAND",NA,"NO",NA,NA,NA
"Abancay1537","PERU",-13.6391954,-72.8929,"2","ABANCAY","1537","['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist']","['CIVIL WAR']","ALMAGRO FACTION IN SPANISH CIVIL WAR","PIZZARISTS","ALMAGRO FACTION IN SPANISH CIVIL WAR","PIZZARISTS",NA,"LAND",NA,"NO",NA,NA,NA
"Abbasabad1827","IRAN",36.7240776,51.1141183,"2","ABBASABAD","1827","['Russo', 'Russian', 'Persian', 'Persian']","RUSSO-PERSIAN WARS","RUSSIA","PERSIA","RUSSIA","PERSIA",3,"LAND",NA,"NO",NA,NA,NA
"Abeche1983","CHAD",13.8359124,20.8433709,"2","ABECHE","1983","['Libyan', 'Chad']","CHAD CIVIL WARS","CHAD","CHADIAN REBELS","CHAD","CHADIAN REBELS",NA,"LAND",NA,"NO",NA,NA,NA
"Abensberg1809","GERMANY",48.8177181,11.8507867,"2","ABENSBERG","1809","['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians']","NAPOLEONIC WARS (5TH COALITION)","FRANCE","AUSTRIA","FRANCE","HABSBURG EMPIRE",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P522; HARBOTTLE'S DICTIONARY OF BATTLES, P86",NA,NA
"Aber Edw1282","UNITED KINGDOM",52.1168663,-3.3541708,"3","ABER EDW","1282","['English', 'Wales', 'Radnor']","ANGLO-WELSH WARS","ENGLAND","WALES","ENGLAND","WALES",NA,"LAND",NA,"NO",NA,NA,NA
"Abercorn1455","UNITED KINGDOM",55.994843,-3.4746957,"2","ABERCORN","1455","['Douglas', 'Scotland', 'Queensferry', 'England']","DOUGLAS REBELLION","SCOTLAND","EARL OF DOUGLAS","SCOTLAND","EARL OF DOUGLAS",NA,"LAND",NA,"NO",NA,NA,NA
"Aberdare, Kenya1955","KENYA",-0.4145514,36.6661998,"2","ABERDARE, KENYA","1955","['Kenya', 'Kenya']","MAU MAU REBELLION","DRAW",NA,"UNITED KINGDOM","MAU MAU REBELS",2,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P560","1",NA
"Aberdare, Kenya1955(2nd)","KENYA",-0.4145514,36.6661998,"3","ABERDARE, KENYA","1955","['Kenya', 'Kenya', 'British', 'British', 'Kenya']","MAU MAU WAR","MAU MAU","UNITED KINGDOM","MAU MAU","UNITED KINGDOM",2,"LAND",NA,"NO",NA,NA,NA
"Aberdare, Wales1093","UNITED KINGDOM",51.716154,-3.451816,"3","ABERDARE, WALES","1093","['Wales', 'Glamorgan']","ANGLO-WELSH WARS","ENGLAND","WALES","ENGLAND","WALES",NA,"LAND",NA,"NO",NA,NA,NA
"Aberdeen1644","UNITED KINGDOM",57.149717,-2.094278,"3","ABERDEEN","1644","['British', 'Scottish', 'Aberdeen', 'Inverlochy']","BRITISH CIVIL WARS","ROYALISTS","COVENANTERS","ROYALISTS","COVENANTERS",1,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE","HTTPS://WWW.BATTLEFIELDSTRUST.COM/MEDIA/669.PDF",NA,NA
"Aboasa1900","GHANA",6.8076157,-1.5454459,"CLODFELTER, P351","ABOASA","1900",NA,"ASHANTI RISING","UNITED KINGDOM","ASHANTI REBELS",NA,NA,1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P351",NA,NA
"Abomey1892","BENIN",7.1854773,1.9979411,"3","ABOMEY","1892","['French']","['DAHOMEAN WAR']","FRANCE","DAHOMEY","FRANCE","DAHOMEY",1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P208",NA,NA
