"year","country_gaining","iso3c_gaining","country_losing","iso3c_losing","type","pop","area"
1946,"SYRIA","SYR","FRANCE","FRA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","2978000","184920.00"
1946,"LEBANON","LBN","FRANCE","FRA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","1156000","10400.00"
1946,"JORDAN","JOR","UNITED KINGDOM","GBR","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","400000","89484.00"
1946,"PHILIPPINES","PHL","UNITED STATES","USA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","18400000","299404.00"
1947,"UNITED STATES","USA","JAPAN","JPN","MANDATED TERRITORY
(BY LEAGUE OF NATIONS OR UN)","47000","1779.00"
1947,"FRANCE","FRA","ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)",".","1.00"
1947,"FRANCE","FRA",NA,NA,"ANNEXATION
(UNILATERAL)","874000","2567.00"
1947,"CZECHOSLOVAKIA",NA,"HUNGARY","HUN","CESSION
(PART YIELDED TO OTHER ENTITY)",".","1.00"
1947,"ALBANIA","ALB","ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)",".","5.00"
1947,"YUGOSLAVIA",NA,"ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)",".","3600.00"
1947,"GREECE","GRC","ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)","115343","2681.00"
1947,"RUSSIA","RUS","ROMANIA","ROU","CONQUEST
(ARMED FORCE)","3500000","49987.00"
1947,"RUSSIA","RUS","FINLAND","FIN","CESSION
(PART YIELDED TO OTHER ENTITY)","450000","44104.00"
1947,"SOUTH AFRICA","ZAF",NA,NA,"ANNEXATION
(UNILATERAL)","0","429.00"
1947,"INDIA","IND","UNITED KINGDOM","GBR","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","345000","2729368.00"
1947,"PAKISTAN","PAK","UNITED KINGDOM","GBR","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","72200000","863777.00"
1947,"AUSTRALIA","AUS","UNITED KINGDOM","GBR","CESSION
(PART YIELDED TO OTHER ENTITY)","0","412.00"
1947,NA,NA,"ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)","1124000","1774149.00"
1947,NA,NA,"ITALY","ITA","CESSION
(PART YIELDED TO OTHER ENTITY)","292000","743.00"
