ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Theatre,Massacre,all_participants,nuclear_countries_involved,active_nuclear_countries_during_conflict
1stDragasani1821,GREECE,44.6631799,24.2608711,"CLODFELTER, P191",DRAGASANI,1821.0,,GREEK WAR OF INDEPENDENCE,GREEK REBELS,OTTOMAN EMPIRE,LAND,NO,"['', 'GREEK REBELS', 'OTTOMAN EMPIRE']",None,None
1stGiurgevo1811,ROMANIA,43.8977007,25.9274978,"CLODFELTER, P190",GIURGEVO,1811.0,,RUSSO-TURKISH WARS,OTTOMAN EMPIRE,RUSSIA,LAND,NO,"['', 'OTTOMAN EMPIRE', 'RUSSIA']",russia,None
2ndBreslau1757,POLAND,51.1078852,17.0385376,"CLODFELTER, P80",BRESLAU,1757.0,,SEVEN YEARS WAR,PRUSSIA,HABSBURG EMPIRE,LAND,NO,"['', 'PRUSSIA', 'HABSBURG EMPIRE']",None,None
2ndGiurgevo1811,ROMANIA,43.8977007,25.9274978,,GIURGEVO,1811.0,,RUSSO-TURKISH WARS,RUSSIA,OTTOMAN EMPIRE,LAND,NO,"['', 'RUSSIA', 'OTTOMAN EMPIRE']",russia,None
2ndSchweidnitz1757,POLAND,50.8498434,16.475679,"CLODFELTER, P80",SCHWEIDNITZ,1757.0,,SEVEN YEARS' WAR,PRUSSIA,HABSBURG EMPIRE,LAND,NO,"['', 'PRUSSIA', 'HABSBURG EMPIRE']",None,None
A Shau1966,VIETNAM,16.1245222,107.3314423,75,A SHAU,1966.0,"['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist']","['VIETNAM WAR', 'THE A SHAU VALLEY']","SOUTH VIETNAM, UNITED STATES",VIET CONG,LAND,NO,"[""['Vietnamese'"", ""'Laotian'"", ""'Hue'"", ""'South Vietnamese'"", ""'American'"", ""'Communist']"", 'SOUTH VIETNAM', 'UNITED STATES', 'VIET CONG']",united states,united states
Aa River1917,LATVIA,56.8206989,23.5755013,1,AA RIVER,1917.0,"['German', 'Russian', 'Riga', 'Germans']",['WORLD WAR I'],GERMANY,RUSSIA,LAND,NO,"[""['German'"", ""'Russian'"", ""'Riga'"", ""'Germans']"", 'GERMANY', 'RUSSIA']",russia,None
Aachen1944,GERMANY,50.7753455,6.0838868,1,AACHEN,1944.0,"['American', 'German', 'Hurtgen']",['WORLD WAR II'],UNITED STATES,GERMANY,LAND,NO,"[""['American'"", ""'German'"", ""'Hurtgen']"", 'UNITED STATES', 'GERMANY']",united states,None
Aardenburg1672,NETHERLANDS,51.2742727,3.4453328,1,AARDENBURG,1672.0,"['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']",3RD DUTCH WAR,NETHERLANDS,FRANCE,LAND,NO,"[""['Spanish'"", ""'Netherlands'"", ""'French'"", ""'Dutch'"", ""'Zeeland'"", ""'Aardenburg'"", ""'Zeeland']"", 'NETHERLANDS', 'FRANCE']",france,None
Aasle1389,SWEDEN,58.1775353,13.6869345,1,AASLE,1389.0,"['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']",WARS OF SCANDINAVIAN UNION,DENMARK,SWEDEN,LAND,NO,"[""['Denmark'"", ""'Sweden'"", ""'Aasle'"", ""'Falkoping'"", ""'Sweden'"", ""'Denmark'"", ""'Norway'"", ""'Sweden']"", 'DENMARK', 'SWEDEN']",None,None
Abadan1980,IRAN,30.347296,48.2934004,1,ABADAN,1980.0,"['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']",['IRAQ-IRAN WAR'],DRAW,,LAND,NO,"[""['Khorramshahr'"", ""'Iraqi'"", ""'Arab'"", ""'Iran'"", ""'Iran'"", ""'Iraqis'"", ""'Iran']"", 'DRAW', '']",None,None
Abadan1981,IRAN,30.347296,48.2934004,1,ABADAN,1981.0,"['Susangerd', 'Irans', 'Iran', 'Iraqis']",['IRAQ-IRAN WAR'],IRAN,IRAQ,LAND,NO,"[""['Susangerd'"", ""'Irans'"", ""'Iran'"", ""'Iraqis']"", 'IRAN', 'IRAQ']",None,None
